,Website,Link,Link Load Time,Status,Link is dead/timed out
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,http://nregade4.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=16,0.757988596,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=19,2.040832949,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade1.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=17,2.094536352,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,http://nregade4.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=18,1.101914597,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=20,2.106431866,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=21,2.088468599,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=22,1.960427237,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=23,1.996340084,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade3.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=24,0.91537919,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,http://nregade4.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?salogin=Y&state_code=25,0.971960163,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=26,1.938708591,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade2.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=27,2.16266036,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,http://nregade4.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=28,0.959544992,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade1.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=29,1.977620029,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,http://nregade3.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=36,1.099618673,301,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade3.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=30,0.97642231,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade2.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=31,2.032816124,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=35,1.947467852,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade3.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=32,0.832395411,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nregade2.nic.in/netnrega/MGNREGA_new/Nrega_Login.aspx?state_code=37,2.037540436,302,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx#skipCont,0.015390682,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://www.facebook.com/iecmgnrega/,0.884207964,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://mgnregasuccess.wordpress.com/,2.987168694,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://www.youtube.com/channel/UCIicGPL5tTD23FvCDFOhrOA?view_as=subscriber,1.910505819,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/NREGA_home_hi.aspx,1.809745979,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx#,0.013835955,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,http://mnregaweb4.nic.in/netnrega/homesearch.htm,0.655186844,301,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx#,0.013247633,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx#,0.014255476,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://amritmahotsav.nic.in/,1.468405819,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_StateReport.aspx?typeN=1,0.503587484,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_StateReport.aspx?typeN=2,0.457965803,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_StateReport.aspx?typeN=3,0.456536055,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_StateReport.aspx?typeN=4,0.522338295,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_StateReport.aspx?typeN=5,0.462586355,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_StateReport.aspx?typeN=6,0.467897654,200,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,http://mnregaweb4.nic.in/netnrega/all_lvl_details_dashboard_new.aspx?Fin_Year=2022-2023&Digest=ftWywJ4W7YWkLDX82gF7Mw,0.597070599,301,N
0,https://nrega.nic.in/Nregahome/MGNREGA_new/Nrega_home.aspx,https://e-saksham.nic.in/,5.035214615,200,N
